node_id,object_type,type,telecom-unit_type,frontier,owner,stage,vpn,name,address,description,cam-static,cam-dynamic,cam-bio,cam-all,latitude,longitude,node_distance,cost
УС20,ivn,telecom-unit,?,101,rm,2,,Щит связи для 101 рубежа,"г. Саранск, ул. Студенческая, 11а",МГПИ им. Евсевьева (Основной корпус),4,1,0,5,54.16042418297130,45.15873710458620,200,50000
?,ivn,telecom-unit,?,104,rm,3,да,Щит связи для 104 рубежа,"г. Ардатов, ул. Полевая, 78а",Здание Автовокзала,3,1,0,4,54.84312128068760,46.2430844718727,0,0
?,ivn,telecom-unit,?,105,rm,3,да,Щит связи для 105 рубежа,"г. Краснослободск, пл. Комсомольская, 20",Здание Автовокзала,6,1,0,7,54.4267385714632,43.80125771110350,0,0
?,ivn,telecom-unit,?,106,rm,3,да,Щит связи для 106 рубежа,"г. Ковылкино, ул. Пролетарская, 15",Здание Автовокзала,6,1,0,7,54.03915728834610,43.91178655944770,0,0
?,ivn,telecom-unit,?,107,rm,3,да,Щит связи для 107 рубежа,"г. Темников, ул. Р. Люксембург, 97",Здание Автовокзала,5,1,0,6,54.62412068335780,43.23117602191900,0,0
?,ivn,telecom-unit,?,108,rm,3,да,Щит связи для 108 рубежа,"п. Зубово-Поляна, ул. Парковая, 2а",Здание Автовокзала,4,0,0,4,54.08091913088140,42.83731776796310,0,0
РУC,ivn,telecom-unit,?,109_4БИО,rm,3,,Щит связи для 109 и 4 - БИО рубежей,"г. Рузаевка, Привокзальная площадь, 1",Здание Автовокзала,3,1,2,6,54.05658963463340,44.94864823105820,400,100000
РУC,ivn,telecom-unit,?,110_5БИО_5БИО-2,rm,3,да,"Щит связи для 110, 5 - БИО и 5 - БИО-2 рубежей","г. Рузаевка, Привокзальная площадь",Здание Ж/д вокзала,7,2,6,15,54.05568854420040,44.94939656737400,0,0
РУC,ivn,telecom-unit,?,111,rm,3,,Щит связи для 111 рубежа,"г. Рузаевка, Привокзальная площадь, 5",Здание Ночной клуб «Royal»,3,1,0,4,54.05744494251240,44.94854094269810,100,25000
УС03,ivn,telecom-unit,?,112,rm,2,,Щит связи для 112 рубежа,"г. Саранск, ул. Косарева, 5а",Здание Ночной клуб «RedClub»,1,0,0,1,54.18956319195110,45.23457707646410,120,30000
УС03,ivn,telecom-unit,?,112,rm,2,,Щит связи для 112 рубежа,"г. Саранск, ул. Ярославская, 25",Жилое здание,6,1,0,7,54.18952229403220,45.23516179802930,120,30000
УС03,ivn,telecom-unit,?,113,rm,2,,Щит связи для 113 рубежа,"г. Саранск, Володарского, 80",Жилое здание,2,1,0,3,54.18961352756870,45.18994780066480,360,90000
УС03,ivn,telecom-unit,?,114,rm,2,,Щит связи для 114 рубежа,"г. Саранск, пр. Ленина, 22",Жилое здание,3,1,0,4,54.18917151384710,45.18766524079330,252,63000
?,ivn,telecom-unit,?,118,rm,3,да,Щит связи для 118 рубежа,"г. Саранск, ул. 2-я Промышленная, 7а",Здание Ночной клуб «Альпы»,4,1,0,5,54.23435658966150,45.19212307217510,0,0
УС11,ivn,telecom-unit,?,119,rm,2,,Щит связи для 119 рубежа,"г. Саранск, ул. Строительная, 2/2",Здание Ночной клуб «Шервуд»,2,1,0,3,54.2044473324594,45.17742724898270,800,200000
УС01,ivn,telecom-unit,?,120,rm,2,,Щит связи для 120 рубежа,"г. Саранск, ул. Васенко, 3а",Здание Мордовского гуманитарного института,4,1,0,5,54.19569483562860,45.18589223215150,752,188000
?,ivn,telecom-unit,?,116,rm,3,да,Щит связи для 116 рубежа,"п. Чамзинка, ул. К.Маркса",Здание Автовокзала,7,1,0,8,54.40330489470220,45.78101003953960,0,0
?,ivn,telecom-unit,?,117,rm,3,да,Щит связи для 117 рубежа,"г. Инсар, ул. Московская, 93 б",Здание Автовокзала,2,1,0,3,53.87066633819550,44.36376030036950,0,0
А,ivn,telecom-unit,?,121,rm,2,,Щит связи для 121 рубежа,"г. Саранск, ул. Победы, 3 б",Здание ЦОП,2,0,0,2,54.20825770837160,45.12889260837450,400,100000
А02,ivn,telecom-unit,внутренний,122,rm,1,,Щит связи для 122 рубежа,"г.Саранск, ул.Республиканская, 103",Гостиница «Адмирал»,1,0,0,1,54.17366286600160,45.17064921092660,0,0
УС16,ivn,telecom-unit,?,125,rm,2,,Щит связи для 125 рубежа,"г. Саранск, ул. А.Невского (между ул.Ворошилова и ул. Пожарского)",Район общежитий №4 и №11,1,0,0,1,54.16969206487430,45.19138000440210,652,163000
?,ivn,telecom-unit,?,128,rm,3,да,Щит связи для 128 рубежа,"г. Саранск, Аэропорт (Опора сотовой связи)",Опора сотовой связи,0,1,0,1,54.14881712278310,45.22329131782460,0,0
?,ivn,telecom-unit,?,124,rm,3,да,Щит связи для 124 рубежа,"г. Саранск, Аэропорт (Вспомогательное здание)",Вспомогательное здание,1,0,0,1,54.13989946358600,45.2177203697,0,0
?,ivn,telecom-unit,?,9_3БИО_3БИО-2,rm,3,да,Щит связи для 3 - Био-2 рубежа,"г. Саранск, Аэропорт Терминал B",Здание Терминал B,0,0,4,4,54.13831809806940,45.21710467310320,0,0
?,ivn,telecom-unit,?,9_3БИО_3БИО-2,rm,3,да,Щит связи для 3 - Био-2 рубежа,"г. Саранск, Аэропорт Терминал А",Здание Терминал A,0,0,1,1,54.13856379019160,45.2197010514296,0,0
УС02,ivn,camera-static,,1,rm,1,,ИВН-РМС-1-С1,"г. Саранск, ул. Володарского, 2",Стационарная камера,,,,,54.18136378317980,45.18935926809680,0,15000
УС02,ivn,camera-static,,1,rm,1,,ИВН-РМС-1-С2,"г. Саранск, ул. Володарского, 2",Стационарная камера,,,,,54.18178366701780,45.18941023006800,0,15000
УС02,ivn,camera-dynamic,,2,rm,1,,ИВН-РМС-2-П1,"г. Саранск, ул. Володарского, 7",Поворотная камера,,,,,54.18280000193010,45.19000031605130,0,15000
?,ivn,camera-static,,2,rm,1,,ИВН-РМС-2-С3,"г. Саранск, ул. Володарского, 7",Стационарная камера,,,,,54.1830092442421,45.19003518476850,0,15000
УС02,ivn,camera-static,,2,rm,1,,ИВН-РМС-2-С1,"г. Саранск, ул. Володарского, 7",Стационарная камера,,,,,54.18320117986360,45.19005932464960,0,15000
?,ivn,camera-static,,32,rm,2,,ИВН-РМС-32-С1,"г. Саранск, ул. Коммунистическая, 10",Стационарная камера,,,,,54.1836432576853,45.190131744293,0,15000
?,ivn,camera-static,,32,rm,2,,ИВН-РМС-32-С2,"г. Саранск, ул. Коммунистическая, 10",Стационарная камера,,,,,54.18376754205010,45.19042946949370,0,15000
?,ivn,camera-static,,32,rm,2,,ИВН-РМС-32-С3,"г. Саранск, ул. Коммунистическая, 10",Стационарная камера,,,,,54.18367629533090,45.19150235309960,0,15000
